ID_country|ISO_country|NAME_country|NAME_PRINT_country|ISO3_country|CODE_country|NAME_ESP_country|id_city|region_id|name_place|short_name_place|slug_place|group_id_place|province_id_place|group_slug_place|latitude|longitude|country_host_id_place|
44|CG|CONGO|Congo|COG|178|Congo|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
45|CD|CONGO, THE DEMOCRATIC REPUBLIC OF THE|Congo, the Democratic Republic of the|COD|180|República Democrática del Congo|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
46|CK|COOK ISLANDS|Cook Islands|COK|184|Islas Cook|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
48|CI|COTE D'IVOIRE|Cote D'Ivoire|CIV|384|Costa de Marfil|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
49|HR|CROATIA|Croatia|HRV|191|Croacia|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
51|CY|CYPRUS|Cyprus|CYP|196|Chipre|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
52|CZ|CZECH REPUBLIC|Czech Republic|CZE|203|Republica Checa|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
53|DK|DENMARK|Denmark|DNK|208|Dinamarca|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
54|DJ|DJIBOUTI|Djibouti|DJI|262|Djibouti|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
55|DM|DOMINICA|Dominica|DMA|212|Dominica|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
58|EG|EGYPT|Egypt|EGY|818|Egipto|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
59|SV|EL SALVADOR|El Salvador|SLV|222|El Salvador|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
60|GQ|EQUATORIAL GUINEA|Equatorial Guinea|GNQ|226|Guinea Ecuatorial|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
61|ER|ERITREA|Eritrea|ERI|232|Eritrea|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
62|EE|ESTONIA|Estonia|EST|233|Estonia|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
63|ET|ETHIOPIA|Ethiopia|ETH|231|Etiopía|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
64|FK|FALKLAND ISLANDS (MALVINAS)|Falkland Islands (Malvinas)|FLK|238|Islas Malvinas (Falkland Islands)|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
65|FO|FAROE ISLANDS|Faroe Islands|FRO|234|Islas Faroe|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
66|FJ|FIJI|Fiji|FJI|242|Fiyi|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
67|FI|FINLAND|Finland|FIN|246|Finlandia|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
68|FR|FRANCE|France|FRA|250|Francia|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
69|GF|FRENCH GUIANA|French Guiana|GUF|254|Guayana Francesa|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
70|PF|FRENCH POLYNESIA|French Polynesia|PYF|258|Polinesia francés|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
71|GA|GABON|Gabon|GAB|266|Gabón|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
72|GM|GAMBIA|Gambia|GMB|270|Gambia|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
73|GE|GEORGIA|Georgia|GEO|268|Georgia|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
74|DE|GERMANY|Germany|DEU|276|Alemania|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
75|GH|GHANA|Ghana|GHA|288|Ghana|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
76|GI|GIBRALTAR|Gibraltar|GIB|292|Gibraltar|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
77|GR|GREECE|Greece|GRC|300|Grecia|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
78|GL|GREENLAND|Greenland|GRL|304|Groenlandia|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
79|GD|GRENADA|Grenada|GRD|308|Granada|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
80|GP|GUADELOUPE|Guadeloupe|GLP|312|Guadalupe|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
81|GU|GUAM|Guam|GUM|316|Guam|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
83|GN|GUINEA|Guinea|GIN|324|Guinea|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
84|GW|GUINEA-BISSAU|Guinea-Bissau|GNB|624|Guinea-Bissau|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
85|GY|GUYANA|Guyana|GUY|328|Guayana|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
86|HT|HAITI|Haiti|HTI|332|Haití|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
87|VA|HOLY SEE (VATICAN CITY STATE)|Holy See (Vatican City State)|VAT|336|Santa Sede (Estado de la Ciudad del Vaticano)|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
88|HN|HONDURAS|Honduras|HND|340|Honduras|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
89|HK|HONG KONG|Hong Kong|HKG|344|Hong Kong|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
90|HU|HUNGARY|Hungary|HUN|348|Hungría|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
91|IS|ICELAND|Iceland|ISL|352|Islandia|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
92|IN|INDIA|India|IND|356|India|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
93|ID|INDONESIA|Indonesia|IDN|360|Indonesia|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
